Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Temperature,Humidity,Air Pressure,CO2 Emissions,NOx Emissions,NOx_AQI,AQI_Category
Motorcycle,Petrol,2.319152172,7,-0.876513692,1.003344893,1048.962692,410.1194712,0.890406196,88.3258774,Moderate
Truck,Petrol,2.705081585,13,-0.105365412,26.38925618,986.341477,338.327624,1.484178743,109.9709492,Unhealthy for Sensitive Groups
Bus,Electric,3.171563918,26,0.841945772,95.22385287,1016.550975,300.2650184,0.673610374,65.2324094,Moderate
Car,Electric,4.882914999,1,-9.195264425,91.03217638,981.9606433,289.9413387,0.33610564,31.70807925,Good
Motorcycle,Diesel,1.838303667,10,25.80440174,11.56472396,996.6647736,398.1919855,0.314549485,29.67447972,Good
Bus,Electric,3.47401908,10,9.980117114,90.84170631,958.3773998,181.9914774,1.060834139,101.961727,Unhealthy for Sensitive Groups
Truck,Petrol,3.880555758,23,-8.866433406,96.4529023,1026.323424,225.1015925,0.82819423,81.69895059,Moderate
Truck,Petrol,1.041542146,21,8.500377223,32.45718958,1016.102445,85.03300715,0.541652404,51.17601695,Moderate
Motorcycle,Diesel,3.95923323,23,35.26840636,70.10068094,984.7485008,304.7583601,0.843239192,83.3015661,Moderate
Car,Diesel,1.686725443,5,15.56221585,55.99824155,1002.484468,482.3651846,0.882502318,87.48394257,Moderate
Motorcycle,Hybrid,1.138268284,20,39.33760057,33.70496586,1037.222184,177.7325962,1.151788999,103.6824946,Unhealthy for Sensitive Groups
Bus,Electric,5.734204794,20,16.99797159,15.33357809,954.4432716,468.1623814,0.210050574,19.81609189,Good
Bus,Petrol,5.821286572,13,38.13994995,36.69202241,1043.02165,378.1433301,1.825239923,116.423458,Unhealthy for Sensitive Groups
Truck,Electric,5.00366621,29,0.09003644,92.77965714,997.0799602,155.2457853,0.807182213,79.46071399,Moderate
Car,Hybrid,2.3839916,9,4.496740636,81.12483756,1035.965541,348.2844603,1.269220387,105.9041695,Unhealthy for Sensitive Groups
Motorcycle,Electric,1.307894993,25,24.99850551,33.06745306,1036.148292,214.8052915,0.682160789,66.14321448,Moderate
Motorcycle,Hybrid,4.358011738,26,39.34108085,54.7675352,955.8712277,105.0359094,1.547184248,111.1629452,Unhealthy for Sensitive Groups
Bus,Diesel,3.088792967,7,31.26487055,40.59616787,1028.159457,91.7247685,0.971523734,96.96665862,Moderate
Bus,Petrol,1.434598821,6,17.68526383,46.6237848,1023.286739,57.75237879,0.711410763,69.25897258,Moderate
Bus,Petrol,3.374919933,7,-5.742369282,76.1210686,954.3193547,409.0138182,1.931235347,118.4287768,Unhealthy for Sensitive Groups
Truck,Electric,0.97882031,27,8.2189555,54.3006201,1044.053787,448.182392,1.743893195,114.8844659,Unhealthy for Sensitive Groups
Truck,Petrol,5.528466091,7,-5.67871497,18.10444634,1013.454824,267.1422421,0.442624515,41.75702972,Good
Truck,Hybrid,2.145655904,22,5.564068093,26.90356278,966.7534009,283.9665905,1.431216138,108.968954,Unhealthy for Sensitive Groups
Motorcycle,Hybrid,4.245115879,1,2.939605033,56.77938619,962.3097194,361.2138081,1.533206109,110.898494,Unhealthy for Sensitive Groups
Car,Diesel,2.420897596,26,9.427764832,69.28195599,1006.197299,365.4087677,0.165658055,15.6281184,Good
Truck,Electric,3.50435371,15,31.8638295,50.81204274,955.8834264,195.857489,1.925831036,118.3265331,Unhealthy for Sensitive Groups
Motorcycle,Hybrid,3.642893453,8,-2.481166434,62.02105323,966.4409695,121.6318369,0.542647482,51.28201439,Moderate
Motorcycle,Diesel,1.761243169,12,5.303197443,78.93769516,1044.845221,243.687745,1.825910658,116.4361476,Unhealthy for Sensitive Groups
Truck,Petrol,5.841840064,22,3.055862216,54.53919162,1024.474086,363.656095,1.34273401,107.2949678,Unhealthy for Sensitive Groups
Bus,Petrol,4.830690681,11,4.807082357,97.71914501,1011.348911,411.8936886,1.073007898,102.1920413,Unhealthy for Sensitive Groups
Truck,Diesel,5.685394496,26,8.03117374,23.55686518,970.8819625,90.12304833,1.593091986,112.03147,Unhealthy for Sensitive Groups
Car,Electric,5.453102222,21,2.215587497,91.96882504,971.8515811,314.7415068,1.382552062,108.0482823,Unhealthy for Sensitive Groups
Truck,Petrol,3.90907989,24,37.12906361,24.76597948,994.5829325,74.34376221,1.506471411,110.3927024,Unhealthy for Sensitive Groups
Truck,Petrol,5.593746022,28,11.0050857,53.16445764,1025.405427,421.15089,1.730021103,114.6220209,Unhealthy for Sensitive Groups
Truck,Electric,1.260161011,16,-4.29433674,45.59067708,950.3929604,350.0628654,0.995245506,99.49354303,Moderate
Motorcycle,Diesel,1.819110885,26,13.3829305,37.28832691,954.4275267,363.4815927,0.908885665,90.29434258,Moderate
Truck,Electric,1.035181902,1,-0.778404907,96.27346686,1037.011162,392.7732919,1.809577843,116.1271484,Unhealthy for Sensitive Groups
Bus,Diesel,2.49171772,12,0.806532125,27.23015609,1031.406568,273.0390611,1.615926576,112.4634758,Unhealthy for Sensitive Groups
Car,Petrol,2.821121906,0,4.252070882,67.48691043,1019.468115,184.5040578,0.136566034,12.88358811,Good
Truck,Electric,2.211014965,25,-3.762007199,80.4068572,999.9532012,403.5488173,1.342255166,107.2859085,Unhealthy for Sensitive Groups
Truck,Petrol,5.109435048,27,26.05594663,19.70068456,964.5126778,399.8162755,1.817418658,116.2754881,Unhealthy for Sensitive Groups
Motorcycle,Diesel,2.655117299,18,29.59732374,97.31529264,960.2233191,110.7244599,1.398808271,108.3558322,Unhealthy for Sensitive Groups
Truck,Electric,2.26085945,10,9.714246096,54.66404757,1040.537633,456.2430461,1.151537396,103.6777345,Unhealthy for Sensitive Groups
Motorcycle,Electric,3.622019632,4,24.44962697,91.44906616,988.252184,149.5458143,0.434191478,40.96146019,Good
Bus,Hybrid,1.53280597,0,9.447714509,66.38810597,1019.572262,187.9067029,1.906098212,117.9532094,Unhealthy for Sensitive Groups
Motorcycle,Hybrid,4.9714243,19,-1.796133818,64.94268508,995.6198082,147.1623632,1.290064284,106.2985135,Unhealthy for Sensitive Groups
Bus,Electric,1.187663347,29,9.858403067,34.55860892,1023.092892,484.5187449,0.291949773,27.54243142,Good
Bus,Hybrid,5.93181207,12,17.84936977,77.05901434,969.3308881,184.7576255,1.86252414,117.1288351,Unhealthy for Sensitive Groups
Bus,Petrol,4.8156728,7,-7.950284296,2.97863172,998.4567919,487.1311646,1.081550159,102.3536517,Unhealthy for Sensitive Groups
Bus,Electric,1.833321544,5,22.72421953,55.58204821,987.6866353,337.0724264,0.398727795,37.61582972,Good
Car,Diesel,0.828715009,28,27.13039845,3.21390632,974.50537,129.4540898,0.530414126,300,Very Unhealthy
Truck,Petrol,5.040399428,16,32.99851289,30.68718728,1009.771114,299.2292248,1.938841571,118.5726784,Unhealthy for Sensitive Groups
Truck,Diesel,4.475658188,11,-4.861471988,9.629578021,1003.697329,447.0189403,0.929602937,92.50118242,Moderate
Truck,Electric,4.590837274,0,-9.995320307,91.15910284,999.569123,302.7536539,0.897380853,89.06882999,Moderate
Bus,Hybrid,4.810605803,2,-6.336681549,62.82603665,1009.110274,109.667975,1.023719574,101.2595595,Unhealthy for Sensitive Groups
Car,Hybrid,1.185032189,13,36.20584019,66.85106169,964.253077,179.1208229,1.430988733,108.9646517,Unhealthy for Sensitive Groups
Truck,Petrol,2.664021788,25,28.27778605,85.11284243,987.0548334,151.1633233,0.793538274,78.00733788,Moderate
Truck,Diesel,1.40251911,7,31.77178234,73.30324753,982.4674273,106.6350223,0.899981212,89.34582476,Moderate
Car,Diesel,5.288137815,10,15.85068986,12.41955761,1026.917542,197.2788788,1.517624801,110.6037125,Unhealthy for Sensitive Groups
Truck,Diesel,4.04115026,26,16.33599373,61.75383333,953.5724075,347.4782413,0.9762739,97.47265457,Moderate
Bus,Petrol,2.520669729,13,4.925279492,97.81707304,978.1931093,222.1294268,1.455787534,109.4338182,Unhealthy for Sensitive Groups
Car,Diesel,1.130503421,7,32.1376526,21.41158909,1041.829431,249.7107807,1.928213296,118.3716029,Unhealthy for Sensitive Groups
Bus,Petrol,2.417108073,28,31.48847915,61.97139311,980.0350649,194.2968491,1.928797758,118.3826603,Unhealthy for Sensitive Groups
Car,Petrol,2.490953275,2,9.608567286,56.36143141,965.1899476,497.5123167,0.949312286,94.60065655,Moderate
Motorcycle,Hybrid,4.593952127,6,6.463353524,39.16460458,1025.73454,313.7889702,0.545020926,51.53483777,Moderate
Bus,Diesel,4.115298851,27,26.91866356,95.46353837,954.7844191,425.2470862,0.577342087,54.97774405,Moderate
Car,Electric,5.413506261,18,-8.691593083,35.64003856,992.631985,248.5980536,1.656521743,113.2314924,Unhealthy for Sensitive Groups
Bus,Diesel,3.255517611,3,32.99744493,9.368044269,1035.535776,125.8867983,0.251468218,23.72341679,Good
Motorcycle,Hybrid,1.421890079,24,12.31239947,96.25429838,1045.409481,431.0634422,0.17678678,16.67799811,Good
Motorcycle,Electric,4.508872894,15,12.06721233,72.92202068,974.9019757,393.5455341,1.394692338,108.2779632,Unhealthy for Sensitive Groups
Truck,Electric,4.756082253,12,23.45389237,34.24498756,979.6202234,198.4140398,1.82921534,116.4986686,Unhealthy for Sensitive Groups
Bus,Diesel,3.718641427,19,22.28746802,28.05116251,1006.72511,322.8879204,0.538525924,300,Very Unhealthy
Motorcycle,Petrol,4.809029336,18,3.298703303,92.80266646,972.6551558,92.06064211,0.203693786,19.21639491,Good
Car,Diesel,3.367737101,4,37.16393023,27.3549976,965.0744067,61.84508553,1.801046401,115.9657427,Unhealthy for Sensitive Groups
Motorcycle,Petrol,3.518210713,22,39.31649897,53.71576727,992.5981511,417.0916439,0.772904097,75.80934946,Moderate
Bus,Hybrid,3.023213295,4,16.29945071,21.49550712,957.224808,473.8675731,1.144469607,103.5440196,Unhealthy for Sensitive Groups
Motorcycle,Electric,0.932179459,19,18.06903991,99.52146139,1039.421997,204.8268574,1.688870121,113.8434888,Unhealthy for Sensitive Groups
Truck,Electric,1.36103542,23,17.71589817,76.95085863,983.4196622,318.9079161,0.575006182,54.72891939,Moderate
Motorcycle,Electric,0.963431766,3,14.28937041,56.76349402,983.6284125,372.7811011,1.242321086,105.3952638,Unhealthy for Sensitive Groups
Truck,Hybrid,4.109334139,1,37.25935268,74.58264492,1029.137311,385.7191437,1.983868572,119.4245406,Unhealthy for Sensitive Groups
Truck,Petrol,2.434651102,25,2.237622449,91.63679666,984.1548357,266.4820552,1.508488225,110.4308583,Unhealthy for Sensitive Groups
Bus,Hybrid,3.444567594,12,-4.602091187,96.31241944,1026.090686,325.977004,0.854947163,84.54871954,Moderate
Motorcycle,Petrol,5.519345664,29,36.47736422,78.60188844,968.1242014,345.6737278,1.559234902,111.3909306,Unhealthy for Sensitive Groups
Truck,Petrol,2.096319592,15,0.651915711,84.90659683,1002.898834,96.46488482,0.141368268,13.33662906,Good
Car,Electric,2.9339912,21,27.45776768,39.77939246,1026.851147,340.2997754,0.50914586,48.0326283,Good
Truck,Diesel,4.72886592,1,0.193665462,39.18229952,994.9899103,279.8859542,1.514888967,110.5519534,Unhealthy for Sensitive Groups
Car,Diesel,1.989750461,18,38.00930078,80.82966527,957.1813264,220.3247882,0.598248379,57.20471863,Moderate
Bus,Electric,1.200295531,16,29.55608852,75.96251389,1023.690235,167.7812897,0.339615871,32.03923311,Good
Truck,Electric,2.306707555,4,35.93590861,90.09817036,999.4056494,337.0637556,0.657277949,63.49265109,Moderate
Bus,Petrol,1.638350694,24,37.54924101,13.30096942,981.6416123,125.0415154,0.425536124,40.14491736,Good
Bus,Diesel,5.634427792,17,-5.778780787,69.08131187,1049.279573,414.8758612,0.899227267,89.26551322,Moderate
Car,Hybrid,5.002225974,27,11.66944279,64.76482338,1037.607223,127.3088173,0.336627543,31.75731538,Good
Truck,Diesel,4.093699534,22,22.40501685,79.85198404,953.782255,397.2277835,1.691637395,113.8958426,Unhealthy for Sensitive Groups
Truck,Hybrid,5.331595069,20,30.12280521,2.455238491,1009.365403,417.8377237,1.581953403,111.8207401,Unhealthy for Sensitive Groups
Truck,Petrol,4.9790948,17,2.073587221,82.62524457,985.4568731,472.8443558,0.683247377,66.25895972,Moderate
Motorcycle,Electric,1.770164306,7,35.73024297,32.64266533,953.7405189,258.4809894,1.08786119,102.4730495,Unhealthy for Sensitive Groups
Bus,Electric,5.441306792,26,1.048816455,68.7122131,951.1297027,78.65917246,1.724566114,114.5188184,Unhealthy for Sensitive Groups
Truck,Hybrid,3.604579658,14,33.30882008,61.65595716,1008.375778,354.9569097,1.865141918,117.1783606,Unhealthy for Sensitive Groups
Bus,Hybrid,4.998688807,12,15.63562898,44.01983208,982.0130659,177.1801202,0.27306571,25.76091604,Good
Bus,Diesel,5.45967476,12,15.77110859,74.60275339,1020.331621,91.72695294,1.471839103,109.7374965,Unhealthy for Sensitive Groups
Car,Electric,2.45361807,15,8.700280774,96.12189304,995.4421286,435.094674,0.357372813,33.71441632,Good
Bus,Petrol,1.372270008,21,-4.824738429,32.34749799,1026.649756,112.8818181,0.138064034,13.02490887,Good
Car,Petrol,1.985262845,19,7.354503156,74.84358832,1031.306523,277.8670573,0.249994605,23.5843967,Good
Motorcycle,Diesel,3.020960501,12,11.33683575,31.45370448,1015.723441,404.8302063,1.194172352,104.4843418,Unhealthy for Sensitive Groups
Truck,Hybrid,5.053676783,19,13.95105283,84.56531403,991.7972608,139.5922618,0.816520135,80.45540568,Moderate
Motorcycle,Diesel,5.275799033,1,26.95476452,43.72731659,1048.847725,453.4859486,0.325482578,30.70590358,Good
Car,Petrol,0.836151079,2,7.603505523,44.92657341,980.6685381,199.2142762,1.001220793,300,Very Unhealthy
Car,Electric,3.455885973,14,10.32964302,77.18805811,1001.457933,228.3878595,1.065639112,102.0526318,Unhealthy for Sensitive Groups
Motorcycle,Diesel,2.970537216,22,35.30493012,49.61696995,1002.04041,109.1720604,1.596050438,112.0874407,Unhealthy for Sensitive Groups
Bus,Electric,1.954960614,18,27.62836473,26.66446179,992.8338851,340.0069242,1.360957736,107.639741,Unhealthy for Sensitive Groups
Truck,Electric,1.42329991,12,-8.857211525,99.55369337,962.1415319,272.8922804,0.985336643,98.43803371,Moderate
Car,Diesel,2.555598891,4,30.60443789,62.02253929,985.3942092,488.3721886,0.716239062,69.77329139,Moderate
Bus,Petrol,5.70313046,25,39.49719622,64.51495567,971.5189746,364.2484172,0.103816235,9.793984434,Good
Motorcycle,Petrol,2.480655247,21,36.98838707,64.65819178,1039.985719,391.5463449,1.680879327,113.6923116,Unhealthy for Sensitive Groups
Truck,Electric,3.497711233,5,31.79779497,88.33590661,1015.537508,139.5880518,0.607272254,58.16595749,Moderate
Motorcycle,Hybrid,4.455698586,13,21.45868737,18.38720057,978.7814184,370.7471524,0.505115296,47.65238642,Good
Motorcycle,Diesel,2.690873932,3,3.909606108,5.915150517,1006.573262,300.8275257,1.495741555,110.1897051,Unhealthy for Sensitive Groups
Motorcycle,Electric,5.85326683,21,22.72153057,38.67005118,1035.320752,231.7247638,0.236133672,22.27676151,Good
Car,Diesel,5.804725934,18,24.77962354,56.49051805,1043.443449,402.196744,0.598975321,57.28215376,Moderate
Motorcycle,Diesel,2.109267938,22,4.077908052,28.57096212,957.5035563,490.3463189,0.926610932,92.18246884,Moderate
Motorcycle,Petrol,3.385692231,6,2.76648122,68.92070045,1028.69085,92.6517151,0.939007237,93.50294481,Moderate
Motorcycle,Hybrid,2.364567211,3,9.846192955,7.391597894,1046.630809,405.0002635,0.39991093,37.72744623,Good
Motorcycle,Hybrid,2.281170571,1,22.05734845,79.07094711,996.7245802,463.7657842,0.176229638,16.62543755,Good
Truck,Electric,0.991812126,26,4.653113464,71.80860197,1049.553401,191.8336584,0.994014317,99.36239464,Moderate
Truck,Petrol,3.969734537,6,17.78332611,21.39447872,1045.707799,213.3599584,0.779181774,76.47805853,Moderate
Car,Diesel,3.413930921,2,34.96187009,29.84542386,1015.689135,407.6474686,0.641213759,61.78146563,Moderate
Car,Electric,1.067689506,14,4.755016244,80.70020448,1034.76114,479.139068,0.614194839,58.90336328,Moderate
Truck,Diesel,2.248961614,0,38.29868681,77.3337843,979.6563118,472.5143083,1.057935914,101.9068957,Unhealthy for Sensitive Groups
Bus,Electric,5.522982607,1,13.66739893,81.37661573,1041.746365,75.03190254,0.141164197,13.31737708,Good
Truck,Diesel,2.045721831,9,-4.954583118,32.22428449,1009.188911,442.142697,0.301556391,28.44871613,Good
Motorcycle,Electric,1.553453335,15,-7.248030314,96.95711835,1000.966559,313.904077,0.717887761,69.94891367,Moderate
Truck,Diesel,3.345154353,24,6.933725715,71.53382294,1033.566176,239.5069588,1.011647427,101.0311675,Unhealthy for Sensitive Groups
Truck,Electric,5.925382361,27,2.937947836,6.52007874,1038.949438,430.4903522,1.418271842,108.7240619,Unhealthy for Sensitive Groups
Bus,Hybrid,2.058687412,14,32.18566636,47.7734854,1020.124907,410.1951459,0.656903257,63.45273825,Moderate
Bus,Petrol,4.295104847,23,26.88192107,66.45470455,952.5036283,279.2068802,1.367385374,107.7613449,Unhealthy for Sensitive Groups
Car,Electric,4.760422,14,34.22731434,16.86501923,1009.720614,234.8242072,0.835585102,82.48623913,Moderate
Bus,Diesel,2.035715229,13,19.46267491,90.17689267,1032.16559,262.6129627,1.571968953,111.6318451,Unhealthy for Sensitive Groups
Car,Electric,4.586725013,21,11.77286238,75.41087012,1004.526934,193.2605807,1.013175792,101.0600826,Unhealthy for Sensitive Groups
Car,Electric,2.71247229,13,3.528396404,8.143176773,1043.485864,356.2342497,1.128641731,103.2445733,Unhealthy for Sensitive Groups
Car,Hybrid,4.087990319,5,19.15544172,91.31981082,1039.731739,451.415102,0.926633566,92.18487986,Moderate
Bus,Hybrid,4.094354496,13,20.90123891,40.43696801,1002.967625,162.7250174,0.352496242,33.25436245,Good
Car,Hybrid,3.586028357,16,9.647378187,45.24694776,990.3830793,421.4785178,0.425217531,40.11486142,Good
Truck,Electric,1.269506804,17,36.82977109,78.31081604,955.5076451,212.3349422,0.860939691,85.18705404,Moderate
Car,Diesel,5.143572977,19,21.99772942,64.39976834,1013.259774,109.3229945,0.287757083,27.14689462,Good
Car,Hybrid,2.468056338,18,31.87406003,43.75286952,976.5964705,68.22276943,0.366363798,34.56262245,Good
Truck,Electric,1.769896254,29,21.01953737,25.96246577,1016.845231,265.7126912,1.285096708,106.2045323,Unhealthy for Sensitive Groups
Car,Electric,1.012030736,16,5.826839267,51.6895732,1029.876124,305.7410914,1.30315921,106.5462553,Unhealthy for Sensitive Groups
Car,Hybrid,3.872643305,15,26.83095789,57.91797474,990.8693511,52.71512512,0.34212938,32.2763566,Good
Bus,Diesel,4.323334682,7,1.512726544,63.09323477,951.5584738,343.6820139,1.722255116,114.4750968,Unhealthy for Sensitive Groups
Car,Diesel,0.88625671,6,19.83046825,60.50632496,1036.525343,283.338252,1.727778638,114.5795959,Unhealthy for Sensitive Groups
Motorcycle,Electric,3.462883903,19,10.11831715,61.73034963,1004.900711,498.8372231,0.821485802,80.98435717,Moderate
Car,Electric,1.977778031,27,-2.50575656,47.5737595,981.4791438,97.03201942,1.046126309,101.6834707,Unhealthy for Sensitive Groups
Truck,Hybrid,4.15489851,11,10.66202878,56.1887839,1013.379605,367.2585903,1.622937114,112.5961076,Unhealthy for Sensitive Groups
Motorcycle,Diesel,1.706705431,8,5.514041473,28.86381847,1017.439413,147.6644336,1.549143378,111.2000099,Unhealthy for Sensitive Groups
Motorcycle,Hybrid,4.392876238,26,-4.388895915,15.83749153,964.7466707,142.8539414,0.7892213,77.5474863,Moderate
Bus,Hybrid,2.811023801,13,31.19141143,60.69356859,1014.640153,58.42353905,0.702485311,68.30821791,Moderate
Car,Diesel,5.670995941,19,14.92912782,4.699869188,978.6686981,52.94464534,1.362250243,107.6641938,Unhealthy for Sensitive Groups
Truck,Hybrid,1.51510891,0,7.317813614,6.520696355,1030.36248,133.9802167,0.790687478,77.70366613,Moderate
Bus,Petrol,2.573545025,9,15.24821249,24.73159962,1044.151058,128.9760962,1.4099568,108.5667503,Unhealthy for Sensitive Groups
Truck,Hybrid,1.39006231,16,27.72915588,19.43270125,960.2667368,50.19682581,0.346289174,32.66879,Good
Motorcycle,Diesel,5.608406815,16,-9.085230339,37.41131314,1041.73578,372.7170696,1.376874112,107.9408616,Unhealthy for Sensitive Groups
Truck,Petrol,5.362164638,16,17.33758803,37.12888128,1040.344598,276.6530875,1.591777541,112.0066021,Unhealthy for Sensitive Groups
Car,Hybrid,2.141296464,3,13.95753916,11.68554557,984.2907618,228.2654653,1.818749214,116.3006608,Unhealthy for Sensitive Groups
Bus,Electric,4.231917039,16,34.65350958,24.65030095,952.8835516,96.70743403,0.966747613,96.45789791,Moderate
Car,Diesel,5.049555441,17,17.79858294,0.456916962,1016.322539,200.2541953,1.164577708,103.9244431,Unhealthy for Sensitive Groups
Car,Diesel,3.68704422,19,-3.133857873,35.09638102,984.4711177,261.7652499,0.648929508,62.60336063,Moderate
Car,Petrol,3.554183007,22,9.434160764,79.64351776,969.1647496,499.1215328,0.385938939,36.40933387,Good
Bus,Petrol,2.057631913,1,21.0534686,26.61599885,960.8564456,279.7697909,0.428908604,40.46307585,Good
Car,Petrol,1.284134393,7,-7.703309647,64.3348146,969.6026362,58.77877259,1.704689686,114.1427778,Unhealthy for Sensitive Groups
Car,Petrol,5.465521941,12,34.23245487,9.825517877,973.7466832,143.4837053,1.128801149,103.2475893,Unhealthy for Sensitive Groups
Car,Diesel,5.482173897,22,-6.610882964,1.228467176,1029.582552,209.5347523,0.814989209,80.29232878,Moderate
Truck,Diesel,4.092127578,24,-8.470443608,49.8396522,1028.381945,255.1669163,1.741504931,114.8392825,Unhealthy for Sensitive Groups
Motorcycle,Petrol,2.562954913,29,-9.899221295,46.14840762,999.4414206,353.4259214,0.316219883,29.83206443,Good
Car,Petrol,2.615889788,21,24.18722458,19.15191984,1005.33253,315.7668259,1.229040178,105.1440034,Unhealthy for Sensitive Groups
Motorcycle,Electric,4.57496953,19,12.79600436,28.65849564,1041.78165,279.1692501,1.602427026,112.2080789,Unhealthy for Sensitive Groups
Motorcycle,Electric,5.464973352,21,-4.859115289,3.067140693,1040.804019,427.0524715,0.337343606,31.82486849,Good
Bus,Petrol,5.412849406,14,32.81042613,79.77998766,1032.86738,138.3120674,0.32904093,31.04159717,Good
Car,Hybrid,4.855352838,19,0.136013705,30.12826963,987.4273795,85.04576062,0.163410419,15.41607726,Good
Motorcycle,Hybrid,4.13856456,22,6.316207949,21.94564194,986.6552398,427.1920397,1.889722991,117.6434079,Unhealthy for Sensitive Groups
Bus,Diesel,1.237527818,8,-1.113926308,80.46577011,1038.788265,257.9739046,1.415144524,108.6648964,Unhealthy for Sensitive Groups
Motorcycle,Diesel,1.640469313,2,36.33781489,3.927369977,1042.651357,299.0094113,0.235735944,22.23924,Good
Bus,Hybrid,5.47248178,2,27.90333916,28.45258171,1029.845465,426.8230498,1.375389869,107.9127813,Unhealthy for Sensitive Groups
Car,Petrol,3.95343111,1,26.19766983,26.27524619,1025.713601,475.6164008,0.676862611,65.57884335,Moderate
Bus,Diesel,0.847824668,0,-7.800198496,26.29726145,1005.816401,298.4003218,0.307733387,29.0314516,Good
Bus,Diesel,1.327652023,13,16.13508521,1.149575915,983.8334901,415.515441,1.985218016,119.4500706,Unhealthy for Sensitive Groups
Motorcycle,Petrol,4.250209199,16,18.77262184,93.4671719,974.0632568,295.1524275,0.441777739,41.67714519,Good
Truck,Electric,0.826320236,12,9.126042004,86.4145199,964.0338302,64.99571859,1.617226025,112.4880599,Unhealthy for Sensitive Groups
Car,Electric,1.636201867,18,6.087812515,41.44930569,1022.820179,480.1363505,1.774667479,115.466682,Unhealthy for Sensitive Groups
Car,Electric,3.653415705,29,32.59714301,44.54349353,1027.697882,417.9951978,1.107622929,102.8469203,Unhealthy for Sensitive Groups
Bus,Hybrid,4.397855028,22,-8.849170432,52.41542452,985.8645184,389.0399845,1.954405428,118.8671297,Unhealthy for Sensitive Groups
Motorcycle,Diesel,4.190198549,14,21.26774241,47.83158727,950.6041191,248.8215826,0.327747795,30.9196033,Good
Truck,Petrol,1.966200409,26,9.712345698,77.91336913,1043.859628,474.1452996,1.925652461,118.3231547,Unhealthy for Sensitive Groups
Bus,Electric,4.503331951,24,23.29753406,48.84199287,993.7089322,270.4308792,0.234252289,22.09927255,Good
Bus,Electric,2.033695255,13,-0.10412271,18.88246705,1047.459105,374.3540024,1.006945884,300,Very Unhealthy
Motorcycle,Hybrid,2.49207843,1,1.932967731,11.69718868,1017.735957,95.26663045,1.724551307,114.5185382,Unhealthy for Sensitive Groups
Car,Hybrid,4.681755307,6,19.34269033,91.82714333,962.4013496,148.4874383,1.151064049,103.6687793,Unhealthy for Sensitive Groups
