Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Temperature,Humidity,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level,NOx_AQI,SO2_AQI,PM2.5_AQI,AQI_Category,AQI_Category_pm,AQI_Category_SO2
Bus,Petrol,3.374919933,7,-5.742369282,76.1210686,954.3193547,409.0138182,1.931235347,0.162983688,0.014707637,0.094083767,High,2414.044184,117.6047088,271.63948,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Truck,Electric,0.97882031,27,8.2189555,54.3006201,1044.053787,448.182392,1.743893195,0.049376596,0.061365568,0.019753521,High,2179.866494,24.69190125,82.29432667,Hazardous,Moderate,Good
Truck,Petrol,5.528466091,7,-5.67871497,18.10444634,1013.454824,267.1422421,0.442624515,0.150331006,0.024260522,0.059865159,Medium,553.2806438,74.83144875,250.5516767,Hazardous,Very Unhealthy,Moderate
Truck,Hybrid,2.145655904,22,5.564068093,26.90356278,966.7534009,283.9665905,1.431216138,0.184083242,0.024854936,0.046124449,Medium,1789.020173,57.65556125,306.8054033,Hazardous,Hazardous,Moderate
Motorcycle,Hybrid,4.245115879,1,2.939605033,56.77938619,962.3097194,361.2138081,1.533206109,0.085179308,0.070492203,0.068263931,High,1916.507636,85.32991375,141.9655133,Hazardous,Unhealthy for Sensitive Groups,Moderate
Car,Diesel,2.420897596,26,9.427764832,69.28195599,1006.197299,365.4087677,0.165658055,0.079507421,0.04797677,0.084871282,High,207.0725688,106.0891025,132.5123683,Very Unhealthy,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Truck,Electric,3.50435371,15,31.8638295,50.81204274,955.8834264,195.857489,1.925831036,0.100764801,0.01292812,0.063954669,Medium,2407.288795,79.94333625,167.941335,Hazardous,Unhealthy,Moderate
Motorcycle,Hybrid,3.642893453,8,-2.481166434,62.02105323,966.4409695,121.6318369,0.542647482,0.165249489,0.060546174,0.030611672,Low,678.3093525,38.26459,275.415815,Hazardous,Very Unhealthy,Good
Motorcycle,Diesel,1.761243169,12,5.303197443,78.93769516,1044.845221,243.687745,1.825910658,0.02758316,0.031994902,0.038917042,Medium,2282.388323,48.6463025,45.97193333,Hazardous,Good,Good
Truck,Petrol,5.841840064,22,3.055862216,54.53919162,1024.474086,363.656095,1.34273401,0.083579836,0.049040515,0.090330762,High,1678.417513,112.9134525,139.2997267,Hazardous,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bus,Petrol,4.830690681,11,4.807082357,97.71914501,1011.348911,411.8936886,1.073007898,0.01557074,0.013512491,0.070437584,High,1341.259873,88.04698,25.95123333,Hazardous,Good,Moderate
Truck,Diesel,5.685394496,26,8.03117374,23.55686518,970.8819625,90.12304833,1.593091986,0.108390307,0.015716316,0.063643223,Low,1991.364983,79.55402875,180.6505117,Hazardous,Unhealthy,Moderate
Car,Electric,5.453102222,21,2.215587497,91.96882504,971.8515811,314.7415068,1.382552062,0.189383583,0.027239316,0.022525263,High,1728.190078,28.15657875,315.639305,Hazardous,Hazardous,Good
Truck,Petrol,3.90907989,24,37.12906361,24.76597948,994.5829325,74.34376221,1.506471411,0.040447888,0.074646784,0.040720453,Low,1883.089264,50.90056625,67.41314667,Hazardous,Moderate,Moderate
Truck,Petrol,5.593746022,28,11.0050857,53.16445764,1025.405427,421.15089,1.730021103,0.058526201,0.081098499,0.03907569,High,2162.526379,48.8446125,97.54366833,Hazardous,Moderate,Good
Truck,Electric,1.260161011,16,-4.29433674,45.59067708,950.3929604,350.0628654,0.995245506,0.142791638,0.040938491,0.012330697,High,1244.056883,15.41337125,237.9860633,Hazardous,Very Unhealthy,Good
Motorcycle,Diesel,1.819110885,26,13.3829305,37.28832691,954.4275267,363.4815927,0.908885665,0.141197578,0.021302415,0.093645742,High,1136.107081,117.0571775,235.3292967,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Truck,Electric,1.035181902,1,-0.778404907,96.27346686,1037.011162,392.7732919,1.809577843,0.123377382,0.094276507,0.039846606,High,2261.972304,49.8082575,205.62897,Hazardous,Very Unhealthy,Good
Bus,Diesel,2.49171772,12,0.806532125,27.23015609,1031.406568,273.0390611,1.615926576,0.055926395,0.080846919,0.019241463,Medium,2019.90822,24.05182875,93.21065833,Hazardous,Moderate,Good
Car,Petrol,2.821121906,0,4.252070882,67.48691043,1019.468115,184.5040578,0.136566034,0.022647593,0.024840772,0.054457259,Medium,170.7075425,68.07157375,37.74598833,Unhealthy,Good,Moderate
Truck,Electric,2.211014965,25,-3.762007199,80.4068572,999.9532012,403.5488173,1.342255166,0.05223224,0.030424699,0.050383015,High,1677.818958,62.97876875,87.05373333,Hazardous,Moderate,Moderate
Truck,Petrol,5.109435048,27,26.05594663,19.70068456,964.5126778,399.8162755,1.817418658,0.131419586,0.013282447,0.086504285,High,2271.773323,108.1303563,219.0326433,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Motorcycle,Diesel,2.655117299,18,29.59732374,97.31529264,960.2233191,110.7244599,1.398808271,0.066285598,0.091079392,0.081983744,Low,1748.510339,102.47968,110.4759967,Hazardous,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Truck,Electric,2.26085945,10,9.714246096,54.66404757,1040.537633,456.2430461,1.151537396,0.169927593,0.093995626,0.080346987,High,1439.421745,100.4337338,283.212655,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Motorcycle,Electric,3.622019632,4,24.44962697,91.44906616,988.252184,149.5458143,0.434191478,0.127087482,0.017460154,0.093905386,Low,542.7393475,117.3817325,211.81247,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Bus,Hybrid,1.53280597,0,9.447714509,66.38810597,1019.572262,187.9067029,1.906098212,0.019497738,0.023220715,0.043709376,Medium,2382.622765,54.63672,32.49623,Hazardous,Good,Moderate
Motorcycle,Hybrid,4.9714243,19,-1.796133818,64.94268508,995.6198082,147.1623632,1.290064284,0.026756823,0.028477709,0.063053279,Low,1612.580355,78.81659875,44.594705,Hazardous,Good,Moderate
Bus,Electric,1.187663347,29,9.858403067,34.55860892,1023.092892,484.5187449,0.291949773,0.063312774,0.026282653,0.070259303,High,364.9372163,87.82412875,105.52129,Hazardous,Unhealthy for Sensitive Groups,Moderate
Bus,Hybrid,5.93181207,12,17.84936977,77.05901434,969.3308881,184.7576255,1.86252414,0.118979558,0.094651262,0.052495955,Medium,2328.155175,65.61994375,198.2992633,Hazardous,Unhealthy,Moderate
Bus,Petrol,4.8156728,7,-7.950284296,2.97863172,998.4567919,487.1311646,1.081550159,0.188006355,0.033518813,0.031947593,High,1351.937699,39.93449125,313.343925,Hazardous,Hazardous,Good
Bus,Electric,1.833321544,5,22.72421953,55.58204821,987.6866353,337.0724264,0.398727795,0.029617177,0.043737309,0.090911417,High,498.4097438,113.6392713,49.36196167,Hazardous,Good,Unhealthy for Sensitive Groups
Car,Diesel,0.828715009,28,27.13039845,3.21390632,974.50537,129.4540898,0.530414126,0.167826645,0.016183332,0.091065314,Low,663.0176575,113.8316425,279.711075,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Truck,Petrol,5.040399428,16,32.99851289,30.68718728,1009.771114,299.2292248,1.938841571,0.118836007,0.066560665,0.07909504,Medium,2423.551964,98.8688,198.0600117,Hazardous,Unhealthy,Moderate
Truck,Diesel,4.475658188,11,-4.861471988,9.629578021,1003.697329,447.0189403,0.929602937,0.079144495,0.033940589,0.041150486,High,1162.003671,51.4381075,131.9074917,Hazardous,Unhealthy for Sensitive Groups,Moderate
Truck,Electric,4.590837274,0,-9.995320307,91.15910284,999.569123,302.7536539,0.897380853,0.132163392,0.032068125,0.010256211,High,1121.726066,12.82026375,220.27232,Hazardous,Very Unhealthy,Good
Bus,Hybrid,4.810605803,2,-6.336681549,62.82603665,1009.110274,109.667975,1.023719574,0.159152473,0.09794113,0.054207894,Low,1279.649468,67.7598675,265.2541217,Hazardous,Very Unhealthy,Moderate
Car,Hybrid,1.185032189,13,36.20584019,66.85106169,964.253077,179.1208229,1.430988733,0.078157153,0.013472154,0.057213397,Medium,1788.735916,71.51674625,130.2619217,Hazardous,Unhealthy for Sensitive Groups,Moderate
Truck,Petrol,2.664021788,25,28.27778605,85.11284243,987.0548334,151.1633233,0.793538274,0.184740845,0.026839425,0.053915815,Medium,991.9228425,67.39476875,307.9014083,Hazardous,Hazardous,Moderate
Truck,Diesel,1.40251911,7,31.77178234,73.30324753,982.4674273,106.6350223,0.899981212,0.114678657,0.056187527,0.018684206,Low,1124.976515,23.3552575,191.131095,Hazardous,Unhealthy,Good
Car,Diesel,5.288137815,10,15.85068986,12.41955761,1026.917542,197.2788788,1.517624801,0.039812505,0.060603423,0.080910008,Medium,1897.031001,101.13751,66.354175,Hazardous,Moderate,Unhealthy for Sensitive Groups
Truck,Diesel,4.04115026,26,16.33599373,61.75383333,953.5724075,347.4782413,0.9762739,0.113887759,0.07417458,0.057892462,High,1220.342375,72.3655775,189.8129317,Hazardous,Unhealthy,Moderate
Bus,Petrol,2.520669729,13,4.925279492,97.81707304,978.1931093,222.1294268,1.455787534,0.15543991,0.028820094,0.029961607,Medium,1819.734418,37.45200875,259.0665167,Hazardous,Very Unhealthy,Good
Car,Diesel,1.130503421,7,32.1376526,21.41158909,1041.829431,249.7107807,1.928213296,0.121449637,0.045464751,0.096085024,Medium,2410.26662,120.10628,202.4160617,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Bus,Petrol,2.417108073,28,31.48847915,61.97139311,980.0350649,194.2968491,1.928797758,0.120983398,0.035846298,0.037187022,Medium,2410.997198,46.4837775,201.6389967,Hazardous,Very Unhealthy,Good
Car,Petrol,2.490953275,2,9.608567286,56.36143141,965.1899476,497.5123167,0.949312286,0.015271911,0.085104534,0.044372962,High,1186.640358,55.4662025,25.453185,Hazardous,Good,Moderate
Motorcycle,Hybrid,4.593952127,6,6.463353524,39.16460458,1025.73454,313.7889702,0.545020926,0.09803369,0.042382309,0.046126544,High,681.2761575,57.65818,163.3894833,Hazardous,Unhealthy,Moderate
Bus,Diesel,4.115298851,27,26.91866356,95.46353837,954.7844191,425.2470862,0.577342087,0.079460351,0.033500905,0.046128182,High,721.6776088,57.6602275,132.4339183,Hazardous,Unhealthy for Sensitive Groups,Moderate
Car,Electric,5.413506261,18,-8.691593083,35.64003856,992.631985,248.5980536,1.656521743,0.018319738,0.065514308,0.067845046,Medium,2070.652179,84.8063075,30.53289667,Hazardous,Good,Moderate
Bus,Diesel,3.255517611,3,32.99744493,9.368044269,1035.535776,125.8867983,0.251468218,0.139422557,0.019676133,0.035549518,Low,314.3352725,44.4368975,232.3709283,Hazardous,Very Unhealthy,Good
Motorcycle,Hybrid,1.421890079,24,12.31239947,96.25429838,1045.409481,431.0634422,0.17678678,0.044792866,0.086406294,0.091305181,High,220.983475,114.1314763,74.65477667,Very Unhealthy,Moderate,Unhealthy for Sensitive Groups
Motorcycle,Electric,4.508872894,15,12.06721233,72.92202068,974.9019757,393.5455341,1.394692338,0.076484446,0.035113241,0.061552555,High,1743.365423,76.94069375,127.4740767,Hazardous,Unhealthy for Sensitive Groups,Moderate
Truck,Electric,4.756082253,12,23.45389237,34.24498756,979.6202234,198.4140398,1.82921534,0.119742699,0.084161108,0.089191332,Medium,2286.519175,111.489165,199.571165,Hazardous,Unhealthy,Unhealthy for Sensitive Groups
Bus,Diesel,3.718641427,19,22.28746802,28.05116251,1006.72511,322.8879204,0.538525924,0.093654219,0.099223933,0.09256449,High,673.157405,115.7056125,156.090365,Hazardous,Unhealthy,Unhealthy for Sensitive Groups
Motorcycle,Petrol,4.809029336,18,3.298703303,92.80266646,972.6551558,92.06064211,0.203693786,0.143336246,0.011919265,0.079183585,Low,254.6172325,98.97948125,238.8937433,Very Unhealthy,Very Unhealthy,Moderate
Car,Diesel,3.367737101,4,37.16393023,27.3549976,965.0744067,61.84508553,1.801046401,0.170504936,0.027277496,0.031929167,Low,2251.308001,39.91145875,284.1748933,Hazardous,Very Unhealthy,Good
Motorcycle,Petrol,3.518210713,22,39.31649897,53.71576727,992.5981511,417.0916439,0.772904097,0.042156747,0.077207944,0.039676881,High,966.1301213,49.59610125,70.261245,Hazardous,Moderate,Good
Bus,Hybrid,3.023213295,4,16.29945071,21.49550712,957.224808,473.8675731,1.144469607,0.062932886,0.017454641,0.030628406,High,1430.587009,38.2855075,104.8881433,Hazardous,Unhealthy for Sensitive Groups,Good
Motorcycle,Electric,0.932179459,19,18.06903991,99.52146139,1039.421997,204.8268574,1.688870121,0.045305275,0.05018089,0.051118299,Medium,2111.087651,63.89787375,75.50879167,Hazardous,Moderate,Moderate
Truck,Electric,1.36103542,23,17.71589817,76.95085863,983.4196622,318.9079161,0.575006182,0.104846998,0.023550138,0.055989878,High,718.7577275,69.9873475,174.7449967,Hazardous,Unhealthy,Moderate
Motorcycle,Electric,0.963431766,3,14.28937041,56.76349402,983.6284125,372.7811011,1.242321086,0.02505867,0.052277825,0.040472342,High,1552.901358,50.5904275,41.76445,Hazardous,Good,Moderate
Truck,Hybrid,4.109334139,1,37.25935268,74.58264492,1029.137311,385.7191437,1.983868572,0.150841368,0.011130919,0.088517728,High,2479.835715,110.64716,251.40228,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Truck,Petrol,2.434651102,25,2.237622449,91.63679666,984.1548357,266.4820552,1.508488225,0.034308856,0.023548857,0.045599613,Medium,1885.610281,56.99951625,57.18142667,Hazardous,Moderate,Moderate
Bus,Hybrid,3.444567594,12,-4.602091187,96.31241944,1026.090686,325.977004,0.854947163,0.189886198,0.034745944,0.073383486,High,1068.683954,91.7293575,316.4769967,Hazardous,Hazardous,Moderate
Motorcycle,Petrol,5.519345664,29,36.47736422,78.60188844,968.1242014,345.6737278,1.559234902,0.169670377,0.027809906,0.085048243,High,1949.043628,106.3103038,282.7839617,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Truck,Petrol,2.096319592,15,0.651915711,84.90659683,1002.898834,96.46488482,0.141368268,0.194164837,0.042521529,0.024488002,Low,176.710335,30.6100025,323.6080617,Unhealthy,Hazardous,Good
Car,Electric,2.9339912,21,27.45776768,39.77939246,1026.851147,340.2997754,0.50914586,0.017710376,0.023042957,0.074342279,High,636.432325,92.92784875,29.51729333,Hazardous,Good,Moderate
Truck,Diesel,4.72886592,1,0.193665462,39.18229952,994.9899103,279.8859542,1.514888967,0.048980311,0.083872054,0.024368813,Medium,1893.611209,30.46101625,81.63385167,Hazardous,Moderate,Good
Car,Diesel,1.989750461,18,38.00930078,80.82966527,957.1813264,220.3247882,0.598248379,0.192594479,0.056823334,0.078744999,Medium,747.8104738,98.43124875,320.9907983,Hazardous,Hazardous,Moderate
Bus,Electric,1.200295531,16,29.55608852,75.96251389,1023.690235,167.7812897,0.339615871,0.197081755,0.03791457,0.061062342,Medium,424.5198388,76.3279275,328.4695917,Hazardous,Hazardous,Moderate
Truck,Electric,2.306707555,4,35.93590861,90.09817036,999.4056494,337.0637556,0.657277949,0.063333337,0.036567211,0.056280171,High,821.5974363,70.35021375,105.5555617,Hazardous,Unhealthy for Sensitive Groups,Moderate
Bus,Petrol,1.638350694,24,37.54924101,13.30096942,981.6416123,125.0415154,0.425536124,0.123763194,0.031957773,0.057713099,Low,531.920155,72.14137375,206.27199,Hazardous,Very Unhealthy,Moderate
Bus,Diesel,5.634427792,17,-5.778780787,69.08131187,1049.279573,414.8758612,0.899227267,0.049424395,0.055471247,0.046136346,High,1124.034084,57.6704325,82.37399167,Hazardous,Moderate,Moderate
Car,Hybrid,5.002225974,27,11.66944279,64.76482338,1037.607223,127.3088173,0.336627543,0.180011077,0.057809199,0.014467291,Low,420.7844288,18.08411375,300.0184617,Hazardous,Hazardous,Good
Truck,Diesel,4.093699534,22,22.40501685,79.85198404,953.782255,397.2277835,1.691637395,0.036002815,0.099241576,0.059741064,High,2114.546744,74.67633,60.00469167,Hazardous,Moderate,Moderate
Truck,Hybrid,5.331595069,20,30.12280521,2.455238491,1009.365403,417.8377237,1.581953403,0.140763779,0.066611308,0.012021796,High,1977.441754,15.027245,234.6062983,Hazardous,Very Unhealthy,Good
Truck,Petrol,4.9790948,17,2.073587221,82.62524457,985.4568731,472.8443558,0.683247377,0.065128151,0.057827514,0.092139916,High,854.0592213,115.174895,108.5469183,Hazardous,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Motorcycle,Electric,1.770164306,7,35.73024297,32.64266533,953.7405189,258.4809894,1.08786119,0.081021707,0.013446413,0.032415475,Medium,1359.826488,40.51934375,135.0361783,Hazardous,Unhealthy for Sensitive Groups,Good
Bus,Electric,5.441306792,26,1.048816455,68.7122131,951.1297027,78.65917246,1.724566114,0.114109611,0.059502033,0.068402148,Low,2155.707643,85.502685,190.182685,Hazardous,Unhealthy,Moderate
Truck,Hybrid,3.604579658,14,33.30882008,61.65595716,1008.375778,354.9569097,1.865141918,0.091217518,0.054544458,0.060425866,High,2331.427398,75.5323325,152.0291967,Hazardous,Unhealthy,Moderate
Bus,Hybrid,4.998688807,12,15.63562898,44.01983208,982.0130659,177.1801202,0.27306571,0.109448307,0.090696889,0.065506796,Medium,341.3321375,81.883495,182.413845,Hazardous,Unhealthy,Moderate
Bus,Diesel,5.45967476,12,15.77110859,74.60275339,1020.331621,91.72695294,1.471839103,0.139132869,0.075029517,0.03918703,Low,1839.798879,48.9837875,231.888115,Hazardous,Very Unhealthy,Good
Car,Electric,2.45361807,15,8.700280774,96.12189304,995.4421286,435.094674,0.357372813,0.066284848,0.053162494,0.050451318,High,446.7160163,63.0641475,110.4747467,Hazardous,Unhealthy for Sensitive Groups,Moderate
Bus,Petrol,1.372270008,21,-4.824738429,32.34749799,1026.649756,112.8818181,0.138064034,0.150374587,0.030529151,0.077411039,Low,172.5800425,96.76379875,250.6243117,Unhealthy,Very Unhealthy,Moderate
Car,Petrol,1.985262845,19,7.354503156,74.84358832,1031.306523,277.8670573,0.249994605,0.089266037,0.074304269,0.045206721,Medium,312.4932563,56.50840125,148.7767283,Hazardous,Unhealthy for Sensitive Groups,Moderate
Motorcycle,Diesel,3.020960501,12,11.33683575,31.45370448,1015.723441,404.8302063,1.194172352,0.014141311,0.03582445,0.035634437,High,1492.71544,44.54304625,23.56885167,Hazardous,Good,Good
Truck,Hybrid,5.053676783,19,13.95105283,84.56531403,991.7972608,139.5922618,0.816520135,0.170862958,0.041763232,0.012798039,Low,1020.650169,15.99754875,284.7715967,Hazardous,Very Unhealthy,Good
Motorcycle,Diesel,5.275799033,1,26.95476452,43.72731659,1048.847725,453.4859486,0.325482578,0.063501583,0.072312933,0.052836853,High,406.8532225,66.04606625,105.8359717,Hazardous,Unhealthy for Sensitive Groups,Moderate
